Gene,PD_001,PD_002,PD_003,PD_004,PD_005,PD_006,PD_007,PD_008,PD_009,PD_010,PD_011,PD_012,PD_013,PD_014,PD_015,PD_016,PD_017,PD_018,PD_019,PD_020,PD_021,PD_022,PD_023,PD_024,PD_025,PD_026,PD_027,PD_028,PD_029,PD_030
PODXL2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POF1B,50,625,24,0,128,0,0,22,617,226,0,348,111,163,188,2574,146,33,2562,317,1882,0,1121,2354,1166,330,1383,533,1500,229
POFUT1,48,42,0,0,0,0,0,0,0,0,0,53,0,0,0,72,0,24,32,95,8,0,260,0,0,35,0,0,0,0
POFUT2,0,409,677,0,0,0,0,0,0,0,0,119,0,0,0,126,0,327,80,0,226,0,68,0,0,0,0,411,0,387
POGK,137,12,0,0,0,0,0,0,197,0,957,37,0,0,1,524,0,85,112,0,0,784,81,307,832,0,0,69,0,176
POGLUT1,2493,686,0,0,0,0,0,0,2110,0,1,1097,3343,0,0,250,572,197,1458,1572,615,7394,1004,0,1,1641,0,462,0,150
POGZ,559,343,0,0,317,0,0,0,0,0,0,407,0,0,0,0,599,697,442,0,712,1133,274,0,1531,215,0,207,2341,497
POLA1,0,79,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,11,50,121,0,0,341,0,0,852,0,1,759,0
POLA2,1,222,0,0,347,0,0,0,381,0,0,231,0,0,0,0,0,148,65,421,0,404,129,0,0,0,0,226,0,641
POLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
POLD1,69,60,0,0,240,0,0,0,253,0,0,163,0,0,0,180,0,17,89,168,0,662,304,188,0,0,0,0,0,0
POLD2,0,146,854,176,101,0,0,0,260,0,0,168,0,0,0,172,0,87,631,715,183,494,234,485,645,0,0,39,0,122
POLD3,0,17,0,0,7,0,0,0,0,0,0,4,0,0,0,99,74,40,5,83,0,32,0,173,0,0,0,0,0,32
POLD4,599,869,1768,0,603,658,0,0,1128,330,0,515,253,0,3362,644,210,310,861,484,912,559,1239,691,1495,423,501,706,342,519
POLDIP2,1015,680,942,0,1473,1646,0,0,879,0,0,728,0,0,685,520,261,390,1011,1526,2034,634,1846,253,19,593,0,849,1063,481
POLDIP3,2758,944,1501,0,1314,0,0,0,337,0,0,1556,1686,0,1238,1149,1372,627,1216,1331,903,1249,5102,327,769,0,0,211,1927,408
POLE,0,0,425,0,146,0,0,0,72,0,0,184,0,0,0,0,0,54,222,73,0,453,0,0,1,249,0,0,0,131
POLE2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
POLE3,132,22,65,0,18,0,0,0,147,0,0,30,0,0,0,0,92,32,29,99,7,0,221,228,184,53,0,19,131,59
POLE4,0,11,26,0,13,0,0,0,12,0,0,29,55,0,0,25,0,14,24,36,0,25,24,0,61,40,0,35,36,0
POLG,1345,73,0,0,286,1,0,278,825,0,0,1189,0,161,1,1,273,594,1754,1038,1956,4091,913,169,0,1482,0,219,1855,425
POLG2,0,2,0,0,0,0,0,0,73,0,0,3,0,0,0,82,0,23,0,0,0,19,0,213,0,0,0,0,74,0
POLH,0,36,0,0,63,2,0,0,0,0,0,25,342,0,0,324,0,23,190,92,0,0,0,0,0,0,0,1,0,0
POLI,0,40,0,0,58,0,0,0,0,0,0,5,0,0,0,0,0,207,82,205,0,0,742,0,0,0,0,0,0,0
POLK,14,3,0,0,0,0,0,0,10,0,97,0,0,0,0,5,0,3,6,0,5,1,3,20,0,0,0,4,0,9
POLL,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLM,128,72,0,0,47,0,0,0,47,0,585,86,0,0,0,0,0,122,68,0,0,0,129,0,0,0,0,33,0,75
POLN,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLQ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
POLR1A,0,4,3,0,0,0,0,0,0,0,0,13,0,0,0,31,0,8,7,21,0,71,34,107,0,202,0,0,124,0
POLR1B,45,84,0,0,49,0,0,0,356,0,642,12,0,0,0,234,0,40,43,0,0,257,134,243,0,0,0,25,0,97
POLR1C,0,106,0,0,0,0,0,0,127,0,1159,81,0,0,0,0,0,90,41,119,0,745,0,649,0,0,0,0,0,179
POLR1D,11,1,0,0,6,2,0,0,9,0,0,3,5,0,16,40,0,10,12,12,5,12,24,48,0,87,0,6,0,1
POLR1E,0,0,0,0,430,0,0,0,0,0,0,57,0,0,2,0,0,324,444,65,0,0,152,0,0,0,1833,0,0,256
POLR2A,903,1012,405,0,432,0,0,0,419,1017,3399,758,1379,0,728,1199,3083,2261,1788,1637,2308,5718,1262,1563,1729,1180,1254,793,0,2650
POLR2B,110,80,0,0,151,0,0,0,534,0,0,128,282,0,0,329,210,241,173,127,151,349,348,502,0,223,37,205,447,384
POLR2C,356,249,204,0,133,0,0,0,521,277,0,258,0,0,0,471,117,319,548,425,511,222,354,623,686,1156,0,112,2122,437
POLR2D,370,195,219,0,784,0,0,0,514,1,4479,590,0,0,0,396,0,107,528,461,460,613,425,0,0,404,0,482,0,0
POLR2E,1579,1022,558,0,3583,2607,0,0,3141,0,2052,1959,894,0,0,1635,642,747,1937,4528,1836,3325,3029,1505,1,1933,2498,3608,0,585
POLR2F,0,704,0,0,674,0,0,0,861,0,0,179,0,2,2866,532,538,214,767,716,599,306,313,0,1028,460,0,707,0,835
POLR2G,0,734,38,0,0,0,0,0,276,0,0,758,0,0,747,1251,0,264,481,909,0,0,723,0,0,627,0,133,0,758
POLR2H,121,21,0,1,16,0,3,2272,47,0,0,232,199,0,0,0,0,21,64,149,102,208,0,0,0,124,0,15,0,0
POLR2I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
POLR2J,203,175,244,300,122,89,0,0,55,0,286,71,706,135,40,197,97,184,332,271,492,269,325,141,761,131,630,209,0,159
POLR2J2,365,77,0,0,2,843,0,0,118,0,0,213,0,0,0,0,0,135,48,182,1477,602,24,0,0,0,0,80,0,38
POLR2J3,4834,1292,60,0,780,11339,0,0,1200,1,1,355,9,256,0,179,179,723,343,299,561,429,521,123,539,59,1155,1111,0,881
POLR2K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,18,0,0,0,7,0,0,0,0,0,0,37
POLR2L,2880,2655,1800,0,3675,0,5,3058,3193,0,2095,1383,766,546,3922,2341,206,514,1930,3557,2467,3070,2509,836,974,577,0,1069,4134,347
POLR2M,0,10,30,0,53,0,0,0,40,326,0,31,0,0,0,105,0,26,91,103,78,28,0,145,0,115,0,31,0,12
POLR3A,0,38,0,0,0,0,0,0,101,0,0,12,0,0,0,0,0,40,92,0,0,16,0,0,665,0,0,0,0,53
POLR3B,0,0,0,0,0,0,0,0,24,0,0,12,0,0,0,0,0,0,27,0,84,0,0,0,0,0,0,52,0,0
POLR3C,41,0,0,0,1,0,0,0,30,0,0,11,163,0,0,197,53,19,124,16,4,72,52,10,83,200,0,3,0,21
POLR3D,0,120,0,0,5,0,28,0,1,0,21,69,0,0,0,567,0,30,80,48,0,645,317,212,0,0,0,10,0,21
POLR3E,10,292,0,0,0,0,0,0,0,0,0,9,808,0,34,0,0,121,77,138,0,1300,513,0,0,0,0,270,0,0
POLR3F,6,0,0,0,0,65,0,55,0,0,15,15,3,0,0,0,0,16,16,45,326,87,16,71,0,48,0,1,0,54
POLR3G,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
POLR3GL,695,58,0,0,436,0,0,0,0,0,0,278,0,0,0,0,0,205,461,256,867,1653,961,517,0,993,0,291,1121,0
POLR3H,0,0,0,0,15,0,0,0,58,0,67,1,0,0,0,45,163,2,10,11,0,6,0,0,74,0,0,2,0,0
POLR3K,2,0,0,0,364,3,0,31,0,0,3285,171,0,0,0,0,0,117,133,0,1,0,0,0,0,0,0,40,0,121
POLRMT,85,0,223,0,318,0,0,0,245,0,0,360,650,690,0,176,1219,99,442,560,225,766,948,335,1223,1471,0,0,0,536
POM121,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,10,4,66,15,84,1,85,0,0,6,8,1,22
POM121C,291,145,0,0,124,0,0,0,68,0,0,183,298,0,0,0,0,298,234,479,429,826,274,59,641,0,0,231,212,543
POM121L10P,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
POM121L12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,0,1,45,0
POM121L1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POM121L2,0,0,406,0,0,0,0,0,129,1297,0,17,490,0,0,0,0,0,28,281,0,0,177,0,459,0,0,72,1653,0
POM121L4P,19,8,6,84,12,71,144,125,8,167,48,1,51,86,0,21,17,0,3,28,3,8,23,48,17,0,49,22,193,13
POMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
POMP,0,148,154,0,0,0,0,0,428,1153,0,112,313,0,1154,0,451,47,430,332,336,1,302,587,193,474,0,33,645,170
POMT1,4,0,2,0,0,0,0,0,1,0,0,113,0,0,0,0,0,62,59,0,260,179,0,0,0,0,0,0,0,124
POMT2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,98,98,0,0,0,0,0,0,0
POMZP3,0,2,0,0,0,0,0,0,0,0,0,114,0,0,0,30,0,225,333,0,334,0,0,0,1,0,0,0,0,183
PON1,0,0,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PON2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0
POP1,0,0,0,0,0,0,0,0,192,0,758,25,341,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
POP4,1,440,0,0,0,0,0,0,376,0,0,208,0,0,0,491,0,122,454,161,812,928,1148,639,460,0,0,2635,1203,370
POP5,0,46,0,0,14,0,0,0,0,0,0,69,7,0,0,0,0,22,99,56,245,0,0,0,0,13,0,238,31,0
POP7,0,70,8,0,46,0,0,0,176,0,0,43,0,0,149,323,87,16,155,159,21,80,398,156,207,0,419,110,0,268
POPDC2,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,49,61,0,0,0,0,0,0,0,0,65,0,31
POPDC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR,1154,1520,305,878,2101,859,0,0,1154,0,0,1606,0,663,1249,1074,1603,2053,2763,905,1678,171,1395,1735,2215,345,6437,1448,0,1018
PORCN,0,0,0,0,0,0,0,0,425,0,0,49,0,0,702,0,545,28,1137,233,221,0,213,0,0,1373,0,0,0,0
POSTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POT1,1,276,0,0,105,0,0,0,0,0,0,521,0,0,0,0,0,119,33,286,0,0,0,0,0,0,0,199,0,70
POTEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
POTEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
POTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU1F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU2AF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,25,0,0,0,0,0,0,1,0,0,0
POU2F1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,1,1,0,0,19,9,0,0,0,1,0,12
POU2F2,0,125,0,0,2,817,3927,0,83,0,0,95,0,0,0,22,0,277,30,102,0,0,234,250,21,0,0,81,0,97
POU3F1,0,17,34,152,3,2,0,0,0,0,0,18,0,0,0,0,0,0,58,31,107,34,0,0,0,0,0,142,0,14
POU3F2,0,0,0,0,0,22,0,0,0,132,0,0,0,0,0,0,79,0,3,0,0,0,6,0,0,0,0,12,64,0
POU3F3,0,0,0,0,0,1,557,0,0,0,0,13,0,0,0,122,0,0,0,13,70,0,0,50,0,0,0,9,0,0
POU3F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
POU4F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU4F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU5F1,0,0,0,0,0,3,122,2,0,0,0,1,0,0,0,0,1,36,44,1,0,0,0,0,0,0,0,31,0,166
POU5F1B,75,0,0,0,0,0,0,0,0,0,0,1,121,249,0,40,0,0,0,14,199,0,0,0,0,0,0,28,0,0
POU5F1P3,2898,1720,430,0,129,0,134,11,152,510,0,2776,2006,0,0,51,0,770,1987,1622,0,918,496,0,0,614,0,626,2189,11176
POU5F1P4,782,106,0,166,104,0,0,0,0,0,0,221,0,0,0,194,305,78,22,0,0,406,0,283,136,0,0,57,0,182
POU5F2,26,1,1,29,0,0,44,17,3,54,0,2,0,0,0,0,0,12,3,2,0,0,0,87,27,0,0,1,0,8
POU6F1,92,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,104,0,0,0,124,0,0,0,0
POU6F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP12613,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0
PP14571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPA1,4147,2532,1574,1515,3185,526,0,0,5284,2673,0,1640,4472,520,6437,4024,1294,509,2084,2880,4443,0,2209,3950,3369,4310,0,1174,3056,2746
PPA2,7,2,0,0,4,0,0,0,114,0,0,49,1518,0,0,266,118,190,129,488,45,687,1269,172,74,16,0,7,0,238
PPAP2A,51,61,70,0,73,0,0,0,38,0,299,33,0,0,0,0,0,15,1378,35,238,376,144,440,0,0,0,51,0,0
PPAP2B,0,100,0,0,0,0,0,0,0,0,0,118,0,0,0,0,215,310,160,0,299,0,160,0,0,357,0,671,630,41
PPAP2C,1,20,0,0,57,0,0,0,0,0,0,36,0,0,0,355,0,1,92,0,0,0,0,0,0,0,0,0,0,0
PPAPDC1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,65
PPAPDC1B,0,149,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,59,312,380,0,178,0,0,0,0,0,0,0,0
PPAPDC2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,11,0,0,0
PPAPDC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPARA,175,651,282,0,166,0,0,0,456,828,0,118,0,857,185,119,2,42,1247,3484,128,0,1534,860,0,0,0,163,1506,277
PPARD,1180,873,1233,215,1379,600,2,2058,1627,1443,0,1240,604,342,3210,3495,1211,474,2116,2791,544,1560,3032,683,5287,173,0,1351,1190,892
PPARG,797,651,0,0,1070,0,0,0,231,0,0,326,0,0,0,0,360,11,234,401,6,0,3291,639,902,650,0,0,0,530
PPARGC1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,81,0,0,0,388,0,0,0,453,0,0
PPARGC1B,0,64,0,0,0,0,0,0,0,0,3014,20,0,0,0,0,0,1,11,0,0,60,0,0,0,1017,0,100,0,0
PPAT,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
PPBP,1,96,0,0,0,0,49,0,0,0,0,4309,0,0,0,0,24,0,1100,0,0,0,268,0,0,0,0,194,0,0
PPBPP2,0,6,0,0,0,210,0,0,0,793,0,0,1,413,0,44,0,2,5,0,0,67,0,0,0,0,0,0,0,0
PPCDC,0,35,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,6,0,0,0,0,0,0,270,0,0,87,0,0
PPCS,786,422,2062,0,386,0,0,0,624,0,0,365,0,0,0,87,0,203,620,2171,86,479,562,1257,738,275,0,470,240,79
PPDPF,1271,1969,3539,1178,3845,1901,2,585,4384,5159,337,1804,1787,541,2725,3010,727,187,2571,2500,4156,1474,5739,12055,5656,1136,7324,2742,2791,1168
PPEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPEF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFIA1,0,158,0,0,580,243,0,0,405,0,1040,615,0,0,535,1059,703,357,351,550,355,543,423,2228,0,0,0,770,0,80
PPFIA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFIA3,0,41,488,0,34,0,0,230,0,83,0,220,2473,0,0,70,0,0,383,0,1534,0,0,0,0,0,0,0,0,0
PPFIBP1,926,664,0,0,0,0,0,2,669,0,0,853,2,794,0,0,0,7,471,1149,1339,3629,1006,599,365,0,0,157,0,237
PPFIBP2,0,1,15,0,10,0,0,0,0,0,0,58,0,0,18,75,0,9,74,29,62,32,0,0,0,0,0,9,93,3
PPHLN1,0,26,1,0,0,0,0,0,39,0,0,19,0,0,2,0,0,15,0,0,0,164,0,477,0,0,0,95,1,0
PPIA,410,206,141,34,301,79,1,94,1063,149,567,350,336,71,591,1320,329,296,555,831,1945,1515,1581,2504,1287,476,253,464,477,369
PPIAL4A,43,1,68,0,0,0,265,0,0,0,0,0,0,0,0,0,102,1,4,0,28,0,0,0,93,0,0,28,0,0
PPIAL4E,1,0,0,0,0,0,1005,0,70,0,1,10,1,0,0,0,167,0,0,31,0,0,0,0,2,1,1,50,1,26
PPIAL4F,43,2,1,2,20,1,5,22,20,13,4,1,97,1,10,20,2,0,0,29,1,0,14,3,103,78,0,16,119,1
PPIAL4G,1,9,0,0,0,137,569,0,54,0,162,4,69,0,0,0,66,0,0,0,0,0,0,0,79,0,0,0,0,24
PPIB,3304,1775,255,0,1411,0,0,0,5258,467,5802,3152,2004,0,542,4614,493,1331,3570,4934,2587,7321,2647,4047,2578,4136,966,2276,753,2929
PPIC,0,616,0,0,79,0,0,0,282,0,0,427,846,0,0,150,0,0,98,0,0,0,98,0,0,0,0,228,0,0
PPID,77,139,183,0,48,0,0,0,0,0,0,108,0,0,0,263,0,138,152,270,93,173,333,463,0,361,0,93,465,169
PPIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,79,0,0,0,0,0,0,0
PPIEL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPIF,11321,14748,15705,4731,38013,10017,1212,8836,22923,8237,1600,10841,10632,4114,17374,16126,14549,18824,22367,22939,19006,3470,25738,9593,21757,13576,34366,22235,10233,19952
PPIG,40,28,79,30,23,0,0,0,29,0,0,35,2,0,0,178,47,96,40,81,0,191,128,175,0,69,0,84,0,66
PPIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
PPIL1,0,134,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,25,0,0,0,0,112,0,0,0,0,0,0,0
PPIL2,4,4,0,0,39,0,0,0,68,0,0,36,0,0,12,0,169,48,83,119,84,43,260,270,0,0,0,56,0,43
PPIL3,0,8,0,0,0,0,0,0,37,0,0,5,0,0,0,0,0,4,6,22,49,21,9,0,47,0,0,14,0,5
PPIL4,176,145,0,0,41,0,0,0,228,0,0,355,0,0,0,342,0,331,338,809,0,565,604,375,596,220,0,342,0,127
PPIL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
PPIP5K1,0,15,0,0,0,0,0,0,96,0,3,56,0,0,0,0,0,64,64,12,505,103,0,488,534,0,0,337,0,0
PPIP5K2,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,3,1,2,10,18,130,34,16,0,5,5,6
PPL,794,1421,1200,0,444,0,0,0,1410,0,894,1740,5320,0,2328,1397,1180,65,3797,1425,5039,111,1226,668,771,0,2634,904,9,322
PPM1A,369,1474,603,0,890,0,0,1109,809,0,1661,358,1361,824,2029,1651,1031,782,986,1252,556,690,3290,3101,1549,985,1593,1126,1029,1244
PPM1B,239,120,298,0,88,141,0,0,393,0,885,183,0,0,0,673,366,454,485,526,142,874,2117,2327,6,559,729,675,0,818
PPM1D,0,410,1600,0,639,0,0,0,801,1718,0,123,4,1441,0,810,0,229,1246,778,993,824,342,0,278,0,0,691,0,1161
PPM1E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPM1F,393,1996,5001,0,90,1493,0,0,615,0,0,1388,1076,696,0,274,1376,1439,1098,1138,634,591,588,0,0,1130,0,487,0,2719
PPM1G,0,404,0,0,350,9,0,0,705,0,0,422,0,0,0,0,0,149,344,654,353,405,147,0,0,719,0,219,536,276
PPM1H,0,1,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PPM1J,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPM1K,372,126,523,0,92,310,0,0,450,0,0,70,447,0,303,249,440,99,304,269,462,216,1177,2001,891,446,1318,155,0,206
PPM1L,0,14,30,0,29,0,0,0,179,0,0,49,0,0,0,0,0,3,0,0,0,0,77,0,0,0,0,82,0,0
PPM1M,204,313,0,0,105,0,0,0,232,556,0,371,1682,0,0,523,839,320,237,205,0,233,102,137,0,0,0,1,2383,67
PPM1N,61,3,12,0,0,0,0,123,0,0,0,131,0,0,92,141,0,58,20,99,0,0,12,241,0,0,0,0,0,97
PPME1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPOX,0,0,0,0,0,5,89,46,2,0,0,0,0,0,0,0,0,14,29,0,0,117,0,0,0,0,0,0,0,0
PPP1CA,577,902,1516,0,462,0,1000,0,1574,2321,0,1055,609,385,1525,1287,246,1111,1684,2505,2726,2017,1901,2377,2417,874,1640,1796,0,1402
PPP1CB,8516,12808,11683,2157,20903,13380,6253,1017,16792,6717,6802,10972,5061,2351,17780,11334,11842,19832,16590,17563,19160,7019,20013,22185,14244,12192,18862,12227,11050,30229
PPP1R10,163,343,217,0,33,0,0,0,189,0,0,333,0,0,0,189,1056,1146,388,887,448,304,338,87,395,838,0,437,275,484
PPP1R11,341,399,87,0,461,0,0,0,450,0,421,299,249,0,311,208,87,528,459,371,277,355,629,420,278,192,940,162,0,836
PPP1R12A,32,115,0,0,192,0,0,0,96,0,0,123,0,0,0,2,0,75,84,0,0,448,48,0,0,0,0,0,0,216
PPP1R12B,0,6,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,27,89,0,0,0,0,0,0,0,0,0,235,0
PPP1R12C,541,503,297,0,289,320,0,0,303,15,31,408,0,162,493,101,554,723,509,209,340,390,337,272,239,509,0,321,350,538
PPP1R13B,201,80,179,0,205,245,0,0,331,0,0,18,0,0,496,629,215,9,111,257,116,0,655,1277,1154,353,1306,134,0,168
PPP1R13L,117,1333,188,0,361,999,9,4439,1023,1252,0,1319,0,0,0,374,780,47,1215,1019,412,0,647,890,1104,0,721,341,0,385
PPP1R14A,71,0,0,0,11,0,0,0,102,0,0,62,40,0,0,225,0,2,72,220,0,307,114,117,180,0,0,118,505,93
PPP1R14B,491,1341,798,0,361,2,1584,0,307,1517,2725,998,799,0,1,685,957,1395,722,947,1265,894,1391,360,1157,500,1,402,2417,894
PPP1R14C,5,7,1,0,7,0,0,0,16,83,0,4,0,0,0,6,0,0,22,15,14,0,10,14,48,29,0,16,56,0
PPP1R14D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0
PPP1R15A,3860,15989,14329,698,7197,6223,961,0,5075,2957,7063,9262,10420,1236,8522,3375,18611,29346,9032,10812,11109,4416,7504,3057,2915,20813,2176,25892,11357,17363
PPP1R15B,801,2763,3328,947,2538,211,0,0,1814,0,2091,1904,2985,464,1107,1189,3293,3906,2724,3042,2710,5968,2575,2369,2648,4433,0,1978,581,2862
PPP1R16A,0,64,131,0,293,0,0,0,0,0,0,156,0,0,0,0,261,35,109,55,0,297,246,0,0,297,0,0,0,110
PPP1R16B,0,287,0,0,83,0,0,0,23,0,750,246,0,0,0,0,0,635,281,137,73,923,99,0,210,667,0,0,0,226
PPP1R17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R18,2645,3533,1778,0,1403,0,0,0,1058,1310,7004,3169,3552,455,7985,648,2014,4645,3041,2965,2832,2803,2252,402,569,3928,941,3863,0,5009
PPP1R1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
PPP1R1B,0,17,0,0,26,0,0,0,92,0,0,22,0,0,0,0,0,6,13,0,1071,25,395,168,0,0,462,47,122,22
PPP1R1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R2,351,320,286,0,547,163,4,1295,542,0,0,364,2141,0,888,537,84,629,959,707,382,1580,529,796,362,506,472,502,318,1245
PPP1R21,0,380,0,0,353,0,0,0,790,0,0,431,0,0,0,0,0,360,209,507,154,210,401,0,367,380,1760,348,0,1620
PPP1R26,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,1,41,0,0,224,3,0,0,0,0,10,0,0
PPP1R27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,115,0,0,0,0,0,0,0,0
PPP1R2P3,0,0,0,0,4,0,0,0,2,0,354,0,0,0,0,0,23,0,0,8,9,0,0,0,0,0,0,16,0,0
PPP1R2P9,0,127,1,228,0,0,0,0,340,0,0,0,0,0,0,141,0,47,47,40,0,0,0,0,0,0,0,0,0,0
