Gene,PD_001,PD_002,PD_003,PD_004,PD_005,PD_006,PD_007,PD_008,PD_009,PD_010,PD_011,PD_012,PD_013,PD_014,PD_015,PD_016,PD_017,PD_018,PD_019,PD_020,PD_021,PD_022,PD_023,PD_024,PD_025,PD_026,PD_027,PD_028,PD_029,PD_030
AGTR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTRAP,301,1517,320,0,1651,824,0,0,484,0,0,860,1260,0,2542,449,190,1976,1421,733,0,0,1684,727,939,396,0,1496,0,1211
AGXT,0,104,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0
AGXT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGXT2L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AGXT2L2,90,437,3,412,0,0,0,0,71,0,0,131,0,0,0,108,1,149,233,60,242,634,25,0,598,390,0,149,0,19
AHCTF1,141,582,1481,0,212,442,0,0,1,0,761,813,0,0,2,148,475,1130,658,954,475,546,196,650,0,923,0,0,0,2199
AHCY,0,194,244,0,0,0,0,0,130,0,0,228,295,0,0,518,0,78,384,291,263,578,466,253,0,0,0,89,2316,45
AHCYL1,547,233,242,0,249,0,0,0,525,0,0,230,0,0,135,969,560,533,677,603,1117,1998,1405,620,1471,372,0,477,397,449
AHCYL2,0,15,0,0,0,0,0,0,0,0,0,52,0,0,162,0,0,12,28,14,0,60,30,194,0,0,0,58,0,7
AHDC1,0,32,0,0,0,0,0,0,102,0,0,33,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0
AHI1,77,25,0,0,0,0,0,0,63,0,512,35,0,0,0,51,0,35,43,7,296,235,0,0,0,237,0,112,0,43
AHNAK,1236,125,61,0,125,30,0,0,433,150,897,804,426,275,33,333,187,81,628,513,1124,3214,572,775,671,637,468,241,489,254
AHNAK2,70,94,0,0,29,0,0,0,23,0,0,194,0,0,0,0,0,0,373,0,1319,0,0,0,0,0,0,1,379,0
AHR,1210,246,67,0,420,1911,0,0,662,0,0,902,1355,0,2,1222,0,318,896,954,1429,2990,826,5149,1311,0,0,307,2800,1027
AHRR,0,6,0,0,0,0,0,0,16,0,0,10,0,0,0,0,57,0,0,57,0,305,0,0,195,0,0,1,0,0
AHSA1,7,6,18,0,10,0,0,0,16,0,0,2,4,0,19,103,59,9,17,16,87,46,85,31,55,25,0,30,15,28
AHSA2,0,29,0,0,0,0,0,0,0,0,0,30,20,34,0,17,81,62,29,14,23,72,42,0,88,90,119,1,183,7
AHSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHSP,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1,0,0,0,0,0,138,0,89,0,0,0,0
AICDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,399,0,0,0,0,0,0,0,0,0
AIDA,22,52,43,0,66,0,0,0,77,0,0,57,0,0,0,256,90,67,145,108,186,146,427,490,80,125,0,150,0,118
AIF1,3286,11818,6187,0,8764,2315,0,38,3575,2132,0,6490,5074,0,2680,4787,4143,17680,5584,8700,5125,1880,2892,1042,2296,10453,0,6735,8586,14738
AIF1L,0,105,0,0,165,0,0,0,552,1092,0,81,1214,0,3620,463,1002,14,892,379,249,0,274,1128,0,0,7347,0,0,0
AIFM1,103,17,70,0,368,0,0,0,289,0,0,153,1524,0,0,225,162,28,137,43,249,386,92,323,0,599,0,0,891,0
AIFM2,39,9,0,0,0,0,0,0,20,0,0,33,0,0,380,42,0,6,69,194,354,0,0,150,229,0,0,42,731,23
AIG1,0,254,0,0,0,0,0,0,0,0,0,66,0,0,0,207,330,262,445,252,450,0,171,0,347,0,0,584,0,81
AIM1,1345,1074,926,0,1942,0,0,0,2859,1494,66,2019,2746,0,935,2478,725,434,2461,1851,1315,3736,1929,2749,844,1948,724,1258,7958,2789
AIM1L,318,270,136,0,312,0,0,0,789,0,0,221,0,0,527,400,477,25,438,509,523,228,743,322,0,0,0,98,0,0
AIM2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,5,0,6
AIMP1,381,63,21,0,37,0,0,0,168,0,0,78,0,194,219,130,0,62,84,0,97,236,99,352,0,0,0,129,0,0
AIMP2,0,81,0,0,0,0,0,0,71,1244,828,467,0,0,0,256,0,80,428,166,330,434,74,0,0,0,0,0,0,243
AIP,1,679,528,0,0,0,0,0,656,0,0,462,970,856,0,411,0,458,478,877,244,0,138,0,0,0,0,841,0,68
AIPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJUBA,0,31,0,0,103,399,0,0,0,0,0,67,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
AK1,14,80,72,132,417,507,0,0,328,0,0,99,0,0,182,426,283,14,88,193,776,52,629,363,805,189,0,153,0,0
AK2,0,1,1,0,1,0,0,0,4,0,0,0,3,0,0,0,0,3,1,2,1,3,3,11,0,4,3,0,3,10
AK3,462,638,962,0,335,0,0,0,966,0,0,822,2,1256,138,489,0,53,1257,745,178,136,1738,2871,556,0,1273,659,0,623
AK4,121,69,102,372,33,0,0,393,49,0,536,142,259,0,0,0,284,41,102,45,434,75,307,186,732,322,430,328,398,193
AK5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0
AK8,0,0,0,1,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AKAP1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,1,4,1,0,0,0,0,0,0,0,0,0,0
AKAP10,135,421,521,0,0,0,0,0,0,0,0,309,0,0,0,0,146,119,283,456,0,0,431,371,70,727,0,82,0,193
AKAP11,118,0,0,0,19,0,0,0,46,0,0,224,513,0,0,0,0,277,258,180,183,1031,181,456,0,438,0,0,0,218
AKAP12,0,0,0,0,35,0,0,0,0,0,0,51,0,0,0,0,0,3,0,35,0,0,37,0,138,450,0,121,0,0
AKAP13,2,0,0,0,1,0,0,0,1,0,6,0,5,0,1,5,2,10,2,5,5,24,9,82,7,19,0,20,1,11
AKAP14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
AKAP17A,893,511,1229,0,1056,0,0,0,496,0,0,1114,0,0,0,131,1556,728,1353,714,732,1402,884,434,186,723,2335,383,0,2007
AKAP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
AKAP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP7,0,0,0,1,0,0,0,0,155,0,0,3,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0
AKAP8,0,187,78,0,430,0,0,0,49,0,0,188,332,0,262,97,0,219,80,0,189,679,193,219,0,126,0,235,0,567
AKAP8L,103,95,272,0,64,0,187,0,298,0,11,50,0,0,0,0,0,177,356,78,369,438,703,3,0,973,0,44,0,160
AKAP9,369,605,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,114,333,77,129,112,0,589,0,251,0,158,0,425
AKD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AKIP1,0,71,0,0,0,0,0,0,203,0,0,56,0,0,0,0,0,13,4,0,52,318,87,347,0,0,0,0,0,0
AKIRIN1,471,1547,1541,1692,977,0,0,0,619,1800,2516,1072,1684,499,0,136,0,1872,1151,1431,1512,4784,5394,1573,1232,172,2628,1239,757,4987
AKIRIN2,132,222,16,0,236,750,0,0,212,26,272,247,3,518,397,567,761,305,476,519,514,540,342,509,249,824,987,312,148,267
AKNA,256,406,90,0,54,0,0,0,240,0,157,187,87,0,0,175,221,663,247,137,228,539,66,107,0,0,0,261,567,658
AKNAD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
AKR1A1,2523,533,1662,0,2786,861,0,0,2773,0,1539,458,2998,0,2375,898,0,265,979,1725,504,678,2486,2240,4759,811,0,920,821,268
AKR1B1,273,0,0,0,77,0,3,976,76,444,2790,91,0,0,396,0,168,66,137,68,270,718,321,0,0,0,0,288,0,0
AKR1B10,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,59,0,130,0,0,0,0,0,0,0,3,0
AKR1B15,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C2,130,214,2,584,0,0,0,0,652,0,0,0,0,0,512,721,319,0,95,54,0,0,85,390,0,0,0,205,0,0
AKR1C3,0,44,0,0,87,525,0,0,57,0,0,16,0,0,0,0,0,13,153,4,0,113,280,294,0,0,0,167,0,0
AKR1C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1CL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,16,0,0,0
AKR1D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
AKR7A2,1888,1655,1978,0,1543,5323,2,2957,4412,2570,1995,210,147,2259,8034,1873,1576,195,2040,1970,905,1,6384,3395,3988,565,4529,2052,0,1366
AKR7A2P1,49,0,0,0,0,0,0,0,48,631,0,3,0,0,233,0,137,1,23,0,0,0,100,0,0,0,0,69,0,0
AKR7A3,0,0,0,0,24,0,0,0,24,0,125,0,0,0,0,0,0,0,74,0,0,193,0,0,23,24,0,71,0,0
AKT1,33,247,126,0,454,0,0,0,92,0,0,289,119,0,138,18,71,165,197,142,75,633,188,82,98,0,0,356,0,192
AKT1S1,438,929,548,290,778,0,0,0,992,0,0,546,535,0,242,225,140,63,1001,386,0,414,629,283,242,523,1791,100,0,324
AKT2,1351,1888,1816,0,618,0,0,0,1430,0,0,1461,920,0,1266,442,0,1641,2080,1667,1856,2337,2729,2658,216,0,0,752,2663,2317
AKT3,187,493,0,0,138,0,0,0,378,0,0,512,313,0,0,615,828,630,292,215,317,57,224,543,0,0,0,79,1584,322
AKTIP,438,1949,447,0,1875,1110,0,0,1041,4,0,339,0,2270,9112,1459,5,144,1800,2323,1469,440,2226,2281,859,1583,2179,735,782,602
ALAD,442,21,521,4,0,454,10,0,138,0,0,80,0,0,0,0,0,13,83,80,0,236,114,176,90,0,1,0,381,0
ALAS1,554,392,0,0,615,361,0,0,429,674,0,1974,1053,0,0,909,0,232,455,605,832,172,913,293,181,391,0,383,0,119
ALAS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0
